objectid,parentid,identifier,box_num,folder_num,archival_item,id_num,multiple_num,last,matching_objects,extension,object_comments,object-type,title,creator,recipient,date,date_is_approximate,description,subject,associated_names,location_1,latitude_longitude_1,location_2,latitude_longitude_2,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,original_format,type,language,rights,student_initials,publish,GGOI,display_template,object_location,image_small,image_thumb
ce_b81_f8-item19,,CE_B81_F8-Item19,B81,F8,F8-Item19,,,9,,,no matching item on server,jpg,People skiing on a groomed surface,N/A,N/A,N/A,yes,A photographic slide of a snowy landscape. Multiple people are skiing across the landscape.,skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item20,,CE_B81_F8-Item20,B81,F8,F8-Item20,,,0,,,no matching item on server,jpg,The base of a chairlift,N/A,N/A,N/A,yes,A photographic slide of a chairlift at a ski resort. There are two people standing underneath the chair lift and a small building next to it.,skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item21,,CE_B81_F8-Item21,B81,F8,F8-Item21,,,1,,,no matching item on server,jpg,Two person skiing,N/A,N/A,N/A,yes,A photographic slide of a person skiing down a flat surface. There is a second person on the side of the photo.,skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item22,,CE_B81_F8-Item22,B81,F8,F8-Item22,,,2,,,no matching item on server,jpg,Ski hill and chair lift,N/A,N/A,N/A,yes,A photographic slide of a snowy bald faced mountain. The top has a chair lift and a bunch of skiers on the hill.,skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item23,,CE_B81_F8-Item23,B81,F8,F8-Item23,,,3,,,no matching item on server,jpg,Ski resort lodge on top a mountain,N/A,N/A,N/A,yes,"A photographic slide of a ski hill. There is a bald faced skiing area, some trees surrounding, and a building on top of the hill.",skiing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item24,,CE_B81_F8-Item24,B81,F8,F8-Item24,,,4,,,no matching item on server,jpg,Dog sled on a trail,N/A,N/A,N/A,yes,A photographic slide of a person behind a dog sled. There are many dogs and some people in the sled. They are in a snowy field.,dog racing sleds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item25,,CE_B81_F8-Item25,B81,F8,F8-Item25,,,5,,,no matching item on server,jpg,A canal of water,N/A,N/A,N/A,yes,A photographic slide of people standing next to a canal of water and a building on the side. There seems to be a a railroad underneath the water.,railroads (infrastructure),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item26,,CE_B81_F8-Item26,B81,F8,F8-Item26,,,6,,,no matching item on server,jpg,A rocky creek,N/A,N/A,N/A,yes,A photographic slide of a creek and a rocky shore. There seems to be a waterfall or snow in the background.,rocky beaches; nature photography,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item27,,CE_B81_F8-Item27,B81,F8,F8-Item27,,,7,,,no matching item on server,jpg,A large creek with green rocks,N/A,N/A,N/A,yes,A photographic slide of a wide creek with many bushes and rocks along the shore. The rocks in the water appear green.,nature photography,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_b81_f8-item28,,CE_B81_F8-Item28,B81,F8,F8-Item28,,,8,,,no matching item on server,jpg,A waterfall and lots of mist,N/A,N/A,N/A,yes,A photographic slide of a waterfall and large rocks. There are rocky mountains in the background.,nature photography,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,slide,Image;StillImage,eng,No Copyright,CD,,,,,,
ce_ca_d3_8483-a,,CE_CA_D3_8483-a,CA,D3,,8483-a,a,a,,,no matching item on server,jpg,Ce.8483,Indigenous,N/A,N/A,N/A,no contextual information,cultural artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.07,19.89,3.87,2.1,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,crabtree_multiple,,,
ce_ca_d3_8483-b,ce_ca_d3_8483-a,CE_CA_D3_8483-b,CA,D3,,8483-b,b,b,,,no matching item on server,jpg,Ce.8483,Indigenous,N/A,N/A,N/A,no contextual information,cultural artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.07,19.89,3.87,2.1,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,image,,,
ce_ca_d3_8920-a,,CE_CA_D3_8920-a,CA,D3,,8920-a,a,a,,,no matching item on server,jpg,Ce.8920,Indigenous,N/A,N/A,N/A,no contextual data,cultural artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,A,3,N/A,N/A,projectile point,cryptocrystalline silicate,N/A,21.72,10.20,4.38,1.1,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,crabtree_multiple,,,
ce_ca_d3_8920-b,ce_ca_d3_8920-a,CE_CA_D3_8920-b,CA,D3,,8920-b,b,b,,,no matching item on server,jpg,Ce.8920,Indigenous,N/A,N/A,N/A,no contextual data,cultural artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,A,3,N/A,N/A,projectile point,cryptocrystalline silicate,N/A,21.72,10.20,4.38,1.1,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,image,,,
ce_ca_d3_9085-b,ce_ca_d3_9085-a,CE_CA_D3_9085-b,CA,D3,,9085-b,b,b,,,no matching item on server,jpg,Ce.9085,Indigenous,N/A,N/A,N/A,no contextual data,cultural artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,A,3,N/A,N/A,projectile point,ignimbrite,N/A,26.12,27.17,5.32,3.5,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,image,,,
ce_cc_d1_751_model,,CE_CC_D1_751_model,CC,D1,,751,,,,,no matching item on server,3D,Ce.751 Model,"Crabtree, Donald ""Don"" E.",N/A,1935-40,yes,"Created by Donald E. Crabtree using chert sourced from Challis, Idaho. The projectile point is corner notched.",experimental artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,C,1,N/A,N/A,projectile point,chert,"Challis, Idaho",56.68,32.76,6.24,7.2,1,Donald E. Crabtree Lithic Comparative Collection,artifact,InteractiveResource;3DObject,,,AF,,,3d_model,,,
ce_cd_d1_6523-,,CE_CD_D1_6523-,CD,D1,,6523-,,-,,,no matching item on server,jpg,Ce.6523,Indigenous,N/A,N/A,N/A,This was made by an unknown Indigenous creator and was used as a flintknapping example for Donald E. Crabtree. Dr. Robert Lee Sappington points out that many of the items made by Crabtree bare a strong resemblance to this artifact.,experimental artifacts; lithics,N/A,N/A,N/A,N/A,N/A,N/A,D,1,N/A,N/A,projectile point,ignimbrite,N/A,27.54,16.25,5.04,1.5,1,Donald E. Crabtree Lithic Comparative Collection,artifact,Image;StillImage,,,AF,,,,,,
